Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Comment
EURUSD;594953773;Buy Stop;0.02;07.04.2022 19:56:26;1.08818;07.04.2022 20:02:32;1.08821;1.35;1.35;[S/L]
DBX.US;594754565;Sell Stop;3;07.04.2022 17:18:49;22.57;07.04.2022 21:03:01;22.8;-15.51;-15.51;[S/L]
EURUSD;594594864;Sell Stop;0.02;07.04.2022 15:52:12;1.0924;07.04.2022 16:01:00;1.09136;46.84;46.84;[S/L]
EURUSD;594593303;Sell Stop;0.02;07.04.2022 15:51:23;1.09227;07.04.2022 15:51:38;1.09267;-17.98;-17.98;[S/L]
EURUSD;594538009;Buy Stop;0.02;07.04.2022 15:23:42;1.09268;07.04.2022 15:38:19;1.09287;8.51;8.51;[S/L]
EURUSD;594534011;Sell Stop;0.02;07.04.2022 15:19:24;1.0919;07.04.2022 15:21:09;1.09225;-15.73;-15.73;[S/L]
EURUSD;594522079;Buy Stop;0.02;07.04.2022 15:08:29;1.09178;07.04.2022 15:12:51;1.09187;4.04;4.04;[S/L]
EURUSD;594515134;Sell Stop;0.02;07.04.2022 15:03:35;1.0909;07.04.2022 15:06:45;1.0913;-18;-18.00;[S/L]
EURUSD;594447701;Buy Stop;0.02;07.04.2022 14:08:49;1.09133;07.04.2022 14:57:09;1.09163;13.47;13.47;[S/L]
EURUSD;594351702;Sell;0.02;07.04.2022 12:35:25;1.08901;07.04.2022 12:48:16;1.08901;0;0;
EURUSD;594329426;Buy;0.02;07.04.2022 12:01:53;1.08951;07.04.2022 12:35:22;1.08904;-21.13;-21.13;
EURUSD;594327761;Sell;0.02;07.04.2022 11:59:45;1.08923;07.04.2022 12:01:24;1.08938;-6.76;-6.76;
EURUSD;594326944;Buy;0.02;07.04.2022 11:58:24;1.08964;07.04.2022 11:59:42;1.08928;-16.2;-16.20;
EURUSD;594326179;Sell;0.02;07.04.2022 11:57:20;1.08929;07.04.2022 11:58:20;1.0896;-13.97;-13.97;
EURUSD;594323629;Buy;0.02;07.04.2022 11:54:09;1.08933;07.04.2022 11:56:49;1.08928;-2.25;-2.25;
EURUSD;594319843;Sell;0.02;07.04.2022 11:48:46;1.08929;07.04.2022 11:52:56;1.08941;-5.41;-5.41;
EURUSD;594296720;Sell Stop;0.02;07.04.2022 11:19:51;1.08722;07.04.2022 11:27:35;1.08721;0.45;0.45;[S/L]
EURUSD;594292122;Buy Stop;0.02;07.04.2022 11:14:26;1.08792;07.04.2022 11:19:40;1.08746;-20.71;-20.71;[S/L]
EURUSD;594284710;Buy Stop;0.02;07.04.2022 11:05:31;1.08802;07.04.2022 11:08:19;1.0876;-18.91;-18.91;[S/L]
EURUSD;594281417;Buy;0.02;07.04.2022 11:01:48;1.08794;07.04.2022 11:04:45;1.08769;-11.26;-11.26;
EURUSD;594278022;Buy Stop;0.02;07.04.2022 10:58:00;1.08803;07.04.2022 11:00:16;1.08763;-18.02;-18.02;[S/L]
EURUSD;594277563;Sell;0.02;07.04.2022 10:57:38;1.08769;07.04.2022 10:57:55;1.088;-13.98;-13.98;
EURUSD;594276280;Buy;0.02;07.04.2022 10:56:30;1.08798;07.04.2022 10:57:33;1.0877;-12.61;-12.61;
